perfume_id,color_score,season_score,myscore,user_style,user_id
155,63.83570887133758,58.33335763889902,122.1690665102366,스포티,1
1427,73.88793755363,47.368421052631575,121.25635860626157,스포티,1
620,70.7466926436445,39.53489098431719,110.28158362796168,스포티,1
205,78.62198307037957,31.578954016621896,110.20093708700146,스포티,1
944,73.14887899990137,36.37183485253403,109.52071385243539,스포티,1
687,73.69918398158237,35.51153919804187,109.21072317962424,스포티,1
1033,77.52887566369702,30.983554694431753,108.51243035812877,스포티,1
592,69.94345966232378,38.28678590654596,108.23024556886973,스포티,1
1087,73.57516420699702,34.177214324627485,107.7523785316245,스포티,1
1146,76.09268612866859,31.35135304601908,107.44403917468767,스포티,1
1424,73.86048727813754,33.55262622922381,107.41311350736135,스포티,1
1463,69.11395187580685,37.931043638527775,107.04499551433463,스포티,1
1378,64.8699091103414,41.23711340206185,106.10702251240325,스포티,1
41,85.25540607175184,20.792086971863966,106.0474930436158,스포티,1
1145,73.35366018851323,32.432427319212756,105.786087507726,스포티,1
848,67.43701378474871,37.931043638527775,105.3680574232765,스포티,1
1353,59.54612241436621,45.714285714285715,105.26040812865193,스포티,1
759,65.93241596557158,38.99242222789033,104.92483819346191,스포티,1
478,66.73877079553851,38.08089697690976,104.81966777244827,스포티,1
255,74.98722612643832,29.429483916023703,104.41671004246201,스포티,1
1323,64.11626132180406,39.88729557519259,104.00355689699666,스포티,1
1259,69.91503338970463,34.03846361464514,103.95349700434977,스포티,1
71,76.16093731065656,27.55813917239052,103.71907648304708,스포티,1
1345,63.15903855990136,40.47620272108494,103.63524128098629,스포티,1
906,63.41486818673917,40.1234409846064,103.53830917134556,스포티,1
1453,65.425632291054,38.095238095238095,103.5208703862921,스포티,1
1322,68.33830954333978,35.16209836505994,103.50040790839972,스포티,1
1117,61.66820289590138,41.754668684755266,103.42287158065665,스포티,1
1188,61.871044470432615,41.42857320408171,103.29961767451432,스포티,1
900,73.89898270307488,29.357809801362126,103.256792504437,스포티,1
1421,61.80108987694464,41.35108192448961,103.15217180143425,스포티,1
1442,69.11395187580685,33.92858348214587,103.04253535795272,스포티,1
1401,70.86997688246466,31.914897012223086,102.78487389468773,스포티,1
996,75.84888872474376,26.89960044099661,102.74848916574037,스포티,1
1332,64.660385170951,38.03809830744049,102.6984834783915,스포티,1
836,63.714469082831485,38.91881267412022,102.6332817569517,스포티,1
311,65.19111330638532,37.36263244777309,102.5537457541584,스포티,1
1415,63.140411760816995,39.324947853609984,102.46535961442697,스포티,1
1394,63.133375256306536,39.2857,102.41907525630654,스포티,1
545,81.87843462567194,20.535727566965946,102.41416219263789,스포티,1
888,63.46980764869805,38.76256425605365,102.2323719047517,스포티,1
840,66.14190077701171,35.80785230449489,101.9497530815066,스포티,1
603,75.35992788332061,26.56250732421646,101.92243520753706,스포티,1
139,68.05674324792874,33.836199355305084,101.89294260323382,스포티,1
717,67.46779708381985,34.37289308892877,101.84069017274862,스포티,1
1141,73.86048727813754,27.927942050159032,101.78842932829657,스포티,1
428,70.49195714546259,31.249993457029785,101.74195060249238,스포티,1
938,62.561244852016905,38.94472263957983,101.50596749159673,스포티,1
484,66.76228246443145,34.67048134416069,101.43276380859214,스포티,1
1379,62.63244414703853,38.77199777758909,101.40444192462762,스포티,1
715,68.39914769406342,32.86385729210922,101.26300498617263,스포티,1
1341,63.39885620951505,37.86408686021526,101.26294306973031,스포티,1
1102,64.40698820293,36.708884089109546,101.11587229203954,스포티,1
1171,68.60228950179604,32.263632594657466,100.8659220964535,스포티,1
395,66.66040812310376,34.14634036287963,100.80674848598339,스포티,1
1074,73.1581112404046,27.49999824999948,100.65810949040407,스포티,1
665,57.95607162304343,42.3728813559322,100.32895297897562,스포티,1
1329,66.17414235539923,34.04255893315076,100.21670128854998,스포티,1
97,58.62798377197753,41.549289922635225,100.17727369461275,스포티,1
1281,62.57885046664392,37.3134328358209,99.89228330246482,스포티,1
1285,60.6067484056247,39.266518242758245,99.87326664838295,스포티,1
1179,63.76998312485499,36.024845615524114,99.7948287403791,스포티,1
975,55.22258904198416,44.44444444444444,99.66703348642861,스포티,1
606,58.480001313659066,41.07142197066433,99.55142328432339,스포티,1
1396,59.41312243753642,40.12962687505967,99.5427493125961,스포티,1
355,64.71124950031833,34.72222222222222,99.43347172254056,스포티,1
615,61.16760515825478,38.230143168063144,99.39774832631792,스포티,1
354,53.098929992938814,46.153847692307615,99.25277768524643,스포티,1
223,66.59823249383045,32.4446683428541,99.04290083668455,스포티,1
504,64.60659571658596,34.32917698544512,98.93577270203107,스포티,1
184,56.807670333172226,41.94657265041516,98.75424298358739,스포티,1
978,62.68794202084938,36.03521849710983,98.7231605179592,스포티,1
661,56.63891699738925,42.00000672000108,98.63892371739033,스포티,1
1407,59.16100322525537,39.39395454545455,98.55495777070992,스포티,1
340,64.5069080010088,33.97912933917729,98.48603734018609,스포티,1
559,65.5019256416322,32.97061263354747,98.47253827517966,스포티,1
1451,61.95365608194123,36.27450660322981,98.22816268517104,스포티,1
329,65.25392084478798,32.96295272062312,98.2168735654111,스포티,1
1296,65.19111330638532,33.01204906778925,98.20316237417457,스포티,1
538,66.14190077701171,31.858419461192668,98.00032023820438,스포티,1
811,61.80108987694464,36.197138737552685,97.99822861449732,스포티,1
1227,85.97201676200423,12.021132687121822,97.99314944912605,스포티,1
429,61.94066969388461,36.04650575987115,97.98717545375575,스포티,1
10,64.20643149491329,33.77350976323299,97.97994125814628,스포티,1
1385,63.06175857794398,34.67151834541025,97.73327692335423,스포티,1
